,INSTNM,CITY,STABBR
0,Alabama A & M University,Normal,Alabama
1,University of Alabama at Birmingham,Birmingham,Alabama
2,Amridge University,Montgomery,Alabama
3,University of Alabama in Huntsville,Huntsville,Alabama
4,Alabama State University,Montgomery,Alabama
5,The University of Alabama,Tuscaloosa,Alabama
6,Central Alabama Community College,Alexander City,Alabama
7,Athens State University,Athens,Alabama
8,Auburn University at Montgomery,Montgomery,Alabama
9,Auburn University,Auburn,Alabama
10,Birmingham Southern College,Birmingham,Alabama
11,Chattahoochee Valley Community College,Phenix City,Alabama
12,Concordia College Alabama,Selma,Alabama
13,South University-Montgomery,Montgomery,Alabama
14,Enterprise State Community College,Enterprise,Alabama
15,Coastal Alabama Community College,Bay Minette,Alabama
16,Faulkner University,Montgomery,Alabama
17,Gadsden State Community College,Gadsden,Alabama
18,New Beginning College of Cosmetology,Albertville,Alabama
19,George C Wallace Community College-Dothan,Dothan,Alabama
20,George C Wallace State Community College-Hanceville,Hanceville,Alabama
21,George C Wallace State Community College-Selma,Selma,Alabama
22,Herzing University-Birmingham,Birmingham,Alabama
23,Huntingdon College,Montgomery,Alabama
24,Heritage Christian University,Florence,Alabama
25,J. F. Drake State Community and Technical College,Huntsville,Alabama
26,J F Ingram State Technical College,Deatsville,Alabama
27,Jacksonville State University,Jacksonville,Alabama
28,Jefferson Davis Community College,Brewton,Alabama
29,Jefferson State Community College,Birmingham,Alabama
30,John C Calhoun State Community College,Tanner,Alabama
31,Judson College,Marion,Alabama
32,Lawson State Community College,Birmingham,Alabama
33,University of West Alabama,Livingston,Alabama
34,Lurleen B Wallace Community College,Andalusia,Alabama
35,Marion Military Institute,Marion,Alabama
36,Miles College,Fairfield,Alabama
37,University of Mobile,Mobile,Alabama
38,University of Montevallo,Montevallo,Alabama
39,Northwest-Shoals Community College,Muscle Shoals,Alabama
40,University of North Alabama,Florence,Alabama
41,Northeast Alabama Community College,Rainsville,Alabama
42,Oakwood University,Huntsville,Alabama
43,Alabama Southern Community College,Monroeville,Alabama
44,Reid State Technical College,Evergreen,Alabama
45,Bishop State Community College,Mobile,Alabama
46,Samford University,Birmingham,Alabama
47,Selma University,Selma,Alabama
48,Shelton State Community College,Tuscaloosa,Alabama
49,Snead State Community College,Boaz,Alabama
50,University of South Alabama,Mobile,Alabama
51,Spring Hill College,Mobile,Alabama
